disability,sex,age_group,activity,food,units_of_100g,grams_per_day
Kidney disease,Male,51U,sedentary,acorn squash,0.48354362581233507,48.35436258123351
Kidney disease,Male,51U,sedentary,cheddar cheese,0.22988551620154968,22.98855162015497
Kidney disease,Male,51U,sedentary,whole wheat bread,0.015060796798829318,1.506079679882932
Kidney disease,Male,51U,moderate,"chicken breast, boneless",15.40695826436706,1540.6958264367058
Kidney disease,Male,51U,moderate,low-fat milk,9.543221449953782,954.3221449953782
Kidney disease,Male,51U,moderate,"chicken legs, bone-in",2.598456426006555,259.8456426006555
Kidney disease,Male,51U,moderate,"Pinto beans, dried",0.6735399173389058,67.35399173389058
Kidney disease,Male,51U,moderate,"Pineapple, fresh",0.6582896524521663,65.82896524521664
Kidney disease,Male,51U,moderate,acorn squash,0.48354362581233507,48.35436258123351
Kidney disease,Male,51U,moderate,cheddar cheese,0.22988551620154968,22.98855162015497
Kidney disease,Male,51U,moderate,whole wheat bread,0.015060796798829318,1.506079679882932
Kidney disease,Male,51U,active,"chicken breast, boneless",15.40695826436706,1540.6958264367058
Kidney disease,Male,51U,active,low-fat milk,9.543221449953782,954.3221449953782
Kidney disease,Male,51U,active,"chicken legs, bone-in",2.598456426006555,259.8456426006555
Kidney disease,Male,51U,active,"Pinto beans, dried",0.6735399173389058,67.35399173389058
Kidney disease,Male,51U,active,"Pineapple, fresh",0.6582896524521663,65.82896524521664
Kidney disease,Male,51U,active,acorn squash,0.48354362581233507,48.35436258123351
Kidney disease,Male,51U,active,cheddar cheese,0.22988551620154968,22.98855162015497
Kidney disease,Male,51U,active,whole wheat bread,0.015060796798829318,1.506079679882932
